user_id,product_id,action,timestamp
1,1519,search,2026-01-15T08:09:00
1,286,view,2026-01-15T08:09:00
1,1117,wishlist,2026-01-15T08:12:00
1,66,wishlist,2026-01-15T08:11:00
1,477,view,2026-01-15T08:53:00
1,1150,rate_product,2026-01-15T08:33:00
1,1437,remove_from_cart,2026-01-15T09:13:00
1,920,add_to_cart,2026-01-15T08:51:00
1,14,remove_from_cart,2026-01-15T08:39:00
1,697,wishlist,2026-01-15T09:03:00
1,1564,view,2026-01-15T09:20:00
1,779,view,2026-01-15T08:39:00
1,705,add_to_cart,2026-01-15T09:21:00
1,1495,remove_from_cart,2026-01-15T10:09:00
1,776,add_to_cart,2026-01-15T08:48:00
1,1699,purchase,2026-01-15T09:55:00
1,1443,rate_product,2026-01-15T08:54:00
1,467,search,2026-01-15T09:51:00
1,1752,click,2026-01-15T09:38:00
1,779,click,2026-01-15T10:03:00
1,1709,view,2026-01-15T10:30:00
1,728,view,2026-01-15T09:53:00
1,1438,wishlist,2026-01-15T09:12:00
1,351,wishlist,2026-01-15T12:03:00
2,553,search,2026-03-01T08:58:00
2,665,view,2026-03-01T08:52:00
2,66,view,2026-03-01T09:09:00
2,136,add_to_cart,2026-03-01T09:08:00
2,1162,remove_from_cart,2026-03-01T09:23:00
2,1023,view,2026-03-01T09:36:00
2,1317,click,2026-03-01T09:51:00
2,286,view,2026-03-01T09:28:00
2,1104,wishlist,2026-03-01T09:42:00
2,878,wishlist,2026-03-01T10:08:00
2,284,add_to_cart,2026-03-01T10:38:00
2,1548,purchase,2026-03-01T09:12:00
2,314,wishlist,2026-03-01T09:40:00
2,865,remove_from_cart,2026-03-01T09:30:00
2,1221,add_to_cart,2026-03-01T11:03:00
2,1134,purchase,2026-03-01T09:20:00
3,547,search,2026-03-10T09:43:00
3,891,view,2026-03-10T09:44:00
3,1479,add_to_cart,2026-03-10T09:54:00
3,1561,click,2026-03-10T09:52:00
3,218,add_to_cart,2026-03-10T10:06:00
3,1040,remove_from_cart,2026-03-10T10:06:00
3,1562,view,2026-03-10T10:04:00
3,1595,purchase,2026-03-10T10:56:00
3,1227,click,2026-03-10T10:39:00
3,230,add_to_cart,2026-03-10T10:46:00
3,1704,remove_from_cart,2026-03-10T10:42:00
3,494,view,2026-03-10T10:12:00
3,996,search,2026-03-10T10:15:00
3,1091,click,2026-03-10T10:32:00
3,974,view,2026-03-10T12:06:00
4,434,search,2026-03-19T09:04:00
4,1413,wishlist,2026-03-19T09:04:00
4,818,wishlist,2026-03-19T09:15:00
4,1060,add_to_cart,2026-03-19T09:30:00
4,461,view,2026-03-19T09:09:00
4,1205,add_to_cart,2026-03-19T09:54:00
4,452,add_to_cart,2026-03-19T09:08:00
4,1293,view,2026-03-19T09:10:00
4,65,view,2026-03-19T09:57:00
4,488,search,2026-03-19T09:54:00
4,439,rate_product,2026-03-19T10:44:00
4,1170,view,2026-03-19T10:42:00
4,969,view,2026-03-19T10:38:00
4,199,view,2026-03-19T10:46:00
4,842,add_to_cart,2026-03-19T11:09:00
4,111,remove_from_cart,2026-03-19T09:42:00
4,1492,view,2026-03-19T10:53:00
4,224,remove_from_cart,2026-03-19T10:24:00
4,1099,view,2026-03-19T11:45:00
4,376,view,2026-03-19T10:54:00
4,1791,add_to_cart,2026-03-19T09:57:00
4,1765,purchase,2026-03-19T12:34:00
5,31,search,2026-03-11T09:50:00
5,1739,click,2026-03-11T09:57:00
5,995,view,2026-03-11T10:14:00
5,822,view,2026-03-11T09:55:00
5,5,view,2026-03-11T10:27:00
5,1606,add_to_cart,2026-03-11T10:41:00
5,1427,add_to_cart,2026-03-11T10:57:00
5,997,wishlist,2026-03-11T10:19:00
5,446,view,2026-03-11T10:05:00
5,1111,purchase,2026-03-11T10:07:00
5,118,rate_product,2026-03-11T10:09:00
5,1030,wishlist,2026-03-11T11:47:00
5,1041,view,2026-03-11T10:26:00
5,141,click,2026-03-11T10:29:00
5,482,purchase,2026-03-11T11:47:00
5,1167,view,2026-03-11T11:07:00
5,82,purchase,2026-03-11T10:38:00
5,1196,rate_product,2026-03-11T12:47:00
5,535,view,2026-03-11T11:22:00
5,644,wishlist,2026-03-11T11:27:00
5,269,view,2026-03-11T11:53:00
5,1540,add_to_cart,2026-03-11T10:53:00
